subj_idx,Topic,Appraisal ,clap,donatie,importance,FEAR,ANGER,NEG_AFFECT
1,1,3,0,50,62,65,63,64
1,1,3,0,53,68,69,68,68.5
1,1,3,0,50,77,79,75,77
1,1,3,0,50,80,83,74,78.5
1,1,2,0,47,74,79,71,75
1,1,2,0,41,77,76,66,71
1,1,2,0,38,80,77,66,71.5
1,1,2,0,29,74,71,61,66
1,1,3,0,50,62,65,63,64
1,1,3,0,53,68,69,68,68.5
1,1,3,0,50,77,79,75,77
1,1,3,0,50,80,83,74,78.5
1,2,3,0,50,59,54,54,54
1,2,3,0,50,62,62,56,59
1,2,3,0,50,56,58,55,56.5
1,2,3,0,50,56,57,55,56
1,2,2,0,41,56,55,51,53
1,2,2,0,44,56,51,45,48
1,2,2,0,44,56,50,43,46.5
1,2,2,0,41,56,58,46,52
1,2,3,0,50,59,54,54,54
1,2,3,0,50,62,62,56,59
1,2,3,0,50,56,58,55,56.5
1,2,3,0,50,56,57,55,56
1,3,3,0,53,80,69,72,70.5
1,3,3,0,50,86,72,69,70.5
1,3,3,0,50,92,84,77,80.5
1,3,3,0,50,89,76,72,74
1,3,2,0,50,86,71,70,70.5
1,3,2,0,50,83,77,66,71.5
1,3,2,0,32,86,78,69,73.5
1,3,2,0,41,89,79,67,73
1,3,3,0,53,80,69,72,70.5
1,3,3,0,50,86,72,69,70.5
1,3,3,0,50,92,84,77,80.5
1,3,3,0,50,89,76,72,74
2,1,3,2,2,35,30,25,27.5
2,1,3,1,29,17,20,19,19.5
2,1,3,2,29,35,19,20,19.5
2,1,3,1,29,23,13,13,13
2,1,2,1,2,8,17,21,19
2,1,2,1,20,35,20,17,18.5
2,1,2,1,29,17,19,15,17
2,1,2,1,29,17,18,10,14
2,1,3,2,2,35,30,25,27.5
2,1,3,1,29,17,20,19,19.5
2,1,3,2,29,35,19,20,19.5
2,1,3,1,29,23,13,13,13
2,2,3,3,35,62,26,24,25
2,2,3,6,83,95,51,29,40
2,2,3,2,2,29,22,18,20
