sj_nr,sj_nr_Skyra,date,time,SONA status,lab,sj_nr_SONA2,gender,gender2,age,education,employment,big5_E,big5_N,big5_O,big5_C,big5_A,issue_positions_immigration,issue_positions_climate,issue_positions_health,issue_importance_immigration,issue_importance_climate,issue_importance_health,party_attitude_PVV,party_attitude_GL,party_attitude_SP,victim_immigration,victim_climate,victim_health,control_health,control_climatek,control_immigration,pol_scep,pol_autho
1,session 4,25/05/2018,07.30-10.30,,LAB3,129784,F,1,25,3,1,3,4,3.5,4.5,4,45.33,76.67,61.67,28,28,29,24,24,29,77,77,78,64,65,65,43.33,54.17
2,session 5,04/06/2018,08:30-12:30,,LAB1 ,137566,M,0,26,4,3,13,40,30.5,-2.5,35,33.33,98.33,51,50,100,50,0,72,79,21,83,51,81,19,52,33,46.83
3,session 6,04/06/2018,14:30-17:30,,Cub9,51775,M,0,25,4,3,21,-18.5,-9,19,20.5,53.67,67.33,48,63,74,63,77,64,41,26,27,27,30,30,31,59.17,56.17
4,session 8 ,06/06/2018,15:30-18:30,,LAB1,4,M,0,25,3,3,2,-16,6.5,7,13,43.33,66.67,36.67,54,80,65,0,70,28,7,22,63,50,34,89,40.5,56.67
5,session 27,07/06/2018,14:30-17:30,,Cub3,137827,F,1,60,4,1,44,-36.5,46,42.5,40,43.33,50,90.67,100,100,100,0,78,83,24,55,100,100,100,100,48.17,55.33
6,session 21,08/06/2018,15:00-18:00,,Cub3,6,F,1,26,3,3,12,23.5,12.5,-15,39,46.33,80.67,100,61,63,100,0,71,40,20,79,100,100,42,78,71,32.17
7,session 29,12/06/2018,08:45-11:45,,Cub8,119299,F,1,25,4,1,38.5,-14.5,32,8.5,47.5,17.67,82,46.67,64,77,80,12,50,50,1,9,1,82,82,60,53.67,42.17
8,session 15,13/06/2018,16:00-19:00,,Cub9,130441,F,1,24,3,3,1,17,13.5,20.5,42.5,34.67,67.67,62,56,61,100,46,54,64,36,60,98,99,90,44,57.17,44.67
9,session 28,15/06/2018,17:00-20:00,,Cub9,137155,M,0,26,4,1,40.5,-7,-1,-23,-1.5,47,87,46,24,72,66,16,44,0,57,77,31,68,23,31,69,52.83
10,session 13,21/06/2018,15:45-18:45,,Cub9,10,F,1,23,3,3,41.5,-20,33,24.5,31,35.67,97.33,86.67,60,74,74,0,78,28,0,70,14,83,82,40,42.67,45.17
11,session 1,22/06/2018,07:30-10:30,,Cub9,137578,F,1,25,4,1,24.5,-5,5.5,20.5,35,36,56.67,60.33,69,76,88,45,47,57,55,56,84,83,55,83,50.33,64.67
12,session 14,27/06/2018,15:00-18:00,,Cub9,12,M,0,26,3,3,3.5,-17,31,8,18.5,22.33,95,42,62,100,100,8,88,67,4,94,55,91,57,22,51.67,40.67
13,session 17,28/06/2018,16:00-19:00,,Cub9,138268,F,1,25,4,1,2.5,1.5,42.5,10,42,33.33,96,60.67,69,85,86,0,96,83,31,60,71,81,79,56,33.33,41.83
14,session 11,29/06/2018,08:00-11:00,,Cub9,123511,M,0,26,3,3,-22.5,5,38.5,42.5,34,16.67,69.67,58.33,60,80,92,7,91,21,3,88,74,77,0,77,30.67,63.17
15,session 2,29/06/2018,10:30-13:30,,Cub9,136345,M,0,25,4,1,3.5,5,-33.5,-27,6.5,49.33,86,72,18,78,91,16,77,28,11,84,72,100,72,53,60.83,37.83
16,session 18,29/06/2018,15:00-18:00,,Cub9,101857,M,0,21,3,3,3.5,10.5,-4,-6,23,35,79.33,44.67,63,82,81,0,90,26,3,66,53,77,77,60,23,39.17
17,session 24,02/07/2018,10:30-13:30,,Cub 8,138400,F,1,26,4,1,22,3.5,39,36.5,36.5,4.67,84.33,66.33,100,100,80,0,87,34,0,57,82,90,80,61,52.33,46.67
18,session 37,04/07/2018,10:00-13:00,,Cub9,37,F,1,25,3,3,-7.5,19.5,28,10,52.5,17.33,90.67,47.33,56,90,83,0,84,54,5,94,54,98,60,33,51.5,44.83
19,session 26,04/07/2018,15:00-18:00,,Cub9,127951,F,1,26,4,1,30.5,8,23.5,27.5,33,27.67,80,100,83,83,100,0,91,83,6,47,50,50,50,50,54.17,45
20,session 22,05/07/2018,08:30-11:30,*helium refill,Cub9,136273,M,0,25,3,3,-6.5,-10.5,33.5,3,34,25.67,100,48.33,21,100,70,0,100,85,0,100,8,98,99,100,27.67,39.83
21,session 23,05/07/2018,10:30-13:30,*helium refill,Cub9,127750,M,0,19,4,1,35,-38.5,9.5,-13.5,54,20,93,16.33,10,100,0,0,85,79,0,18,74,17,72,100,70.17,43.5
22,session 12,06/07/2018,08:00-10:30,,Cub9,111073,M,0,26,3,3,-3.5,26,40.5,8,25,37.67,97,77,56,100,100,4,70,35,36,98,86,77,68,86,58.33,30.5
23,session 19,06/07/2018,10:30-13:30,,Cub9,138733,M,0,26,4,1,-10.5,4.5,18.5,18.5,24.5,43.67,85.33,45.67,72,94,82,0,85,72,26,100,66,66,90,78,55.67,60.33
24,session 30,09/07/2018,09:30-12:30,,Cub9,138691,F,1,26,3,3,22.5,32.5,26,15.5,42,37.67,79.67,58,72,87,87,5,90,57,21,57,60,78,63,54,53.33,56.5
25,session 33 ,09/07/2018,17:00-20:00,,Cub8,136000,M,0,28,3,3,-20.5,-16,-28.5,22.5,43,32,82.33,57.67,58,85,87,16,72,83,0,22,40,91,66,92,40.67,54.17
26,session 38,10/07/2018,11:30-14:30,,Cub9,87883,M,0,24,4,1,-15,-19.5,14.5,11.5,11,62.33,96.67,38,37,88,61,0,68,18,57,57,21,49,17,73,53.17,30.83
27,session 39,11/07/2018,12:30-15:30,,Cub9,137446,F,1,21,3,1,31.5,-15,-32,34,20.5,15.67,96.67,53,70,82,83,17,95,66,22,87,65,94,55,74,55.83,41
28,session 34,11/07/2018,15:00-18:00,,Cub9,129880,M,0,18,4,1,41,-23.5,20,-19,50.5,20.33,92.67,48,70,100,86,0,96,45,9,33,25,74,70,69,55.83,30.67
29,session 16,12/07/2018,09:30-12:30,,Cub9,135274,M,0,20,4,1,5.5,-46,-19,27.5,42,14,42.33,59.33,70,52,100,0,76,13,17,13,15,85,32,79,62.17,63.5
30,session 20,12/07/2018,14:30-17:30,,Cub9,138664,F,1,27,3,3,-6.5,-7,5,-5,23,43,64.33,48.67,59,64,70,50,50,50,0,0,55,56,29,78,42.83,43
31,session 25,13/07/2018,08:00-11:00,,Cub9,138703,F,1,24,4,1,40.5,23,40,-1.5,32,34.33,74.33,34.33,61,72,85,6,50,38,8,31,9,79,66,35,45.67,44.17
32,session 31,13/07/2018,10:00-13:00,,Cub9,134161,F,1,30,4,3,-2,-2,9,26,21.5,22.67,64,48,32,58,62,13,76,45,28,57,43,49,43,55,40.33,52.5
33,session 35,13/07/2018,15:00-18:00,,Cub9,138712,F,1,20,4,1,44,-9.5,40.5,16.5,38,31.67,100,59.33,76,78,100,0,100,78,0,100,68,100,19,74,47.83,24.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
